COMPANY NAME
EASTMAN CHEMICAL CO
EXPEDITORS INTL WASH INC
GE AEROSPACE
DEERE & CO
DONALDSON CO INC
DUPONT DE NEMOURS INC
HONEYWELL INTERNATIONAL INC
PARKER-HANNIFIN CORP
CUMMINS INC
DOW INC
